序号,品种,交易类型,时间,,数量,交易效率,开仓价格,平仓价格/均价,盈亏%,盈亏金额,最大回撤,累计盈亏金额,手续费,滑价成本,最佳平仓价,最差平仓价,最大浮盈,最大浮亏,开仓效率,平仓效率,有效盈亏%,资产,持仓周期,周期均盈利,保证金占用
1,螺纹钢2501,开空,2024/4/10,0:00:00,1,,3573,,,,0.00%,,5.36,0,,,,,,,,,,,"4,644.90"
2,螺纹钢2501,开多,2024/4/25,0:00:00,1,,3667,,,,0.00%,,5.5,0,,,,,,,,,,,"9,412.00"
3,螺纹钢2501,平空,2024/4/26,0:00:00,1,0.00%,,3675/3572,-2.89%,"-1,030.87",0.48%,"-1,030.87",5.51,0,0,0,0,0,0.00%,0.00%,10.84%,"999,043.63",1,"-1,030.87",0
4,螺纹钢2501,开多,2024/5/16,0:00:00,1,,3726,,,,0.00%,,5.59,0,,,,,,,,,,,"4,843.80"
5,螺纹钢2501,开多,2024/5/30,0:00:00,1,,3791,,,,0.00%,,5.69,0,,,,,,,,,,,"9,772.10"
6,螺纹钢2501,开多,2024/6/11,0:00:00,1,,3654,,,,0.00%,,5.48,0,,,,,,,,,,,"14,522.30"
7,螺纹钢2501,开空,2024/6/20,0:00:00,1,,3667,,,,0.00%,,5.5,0,,,,,,,,,,,"19,289.40"
8,螺纹钢2501,平空,2024/6/21,0:00:00,1,0.00%,,3642/3666,0.65%,239.04,1.06%,-791.84,5.46,0,0,0,0,0,0.00%,0.00%,-1.30%,"996,485.94",1,239.04,0
9,螺纹钢2501,开空,2024/7/17,0:00:00,1,,3572,,,,0.00%,,5.36,0,,,,,,,,,,,"4,643.60"
10,螺纹钢2501,平空,2024/7/18,0:00:00,1,0.00%,,3569/3571,0.05%,19.29,1.40%,-772.54,5.35,0,0,0,0,0,0.00%,0.00%,-0.65%,"993,585.19",1,19.29,0
11,螺纹钢2501,开空,2024/8/1,0:00:00,1,,3444,,,,0.00%,,5.17,0,,,,,,,,,,,"4,477.20"
12,螺纹钢2501,平空,2024/8/2,0:00:00,1,0.00%,,3470/3443,-0.79%,-270.37,1.89%,"-1,042.91",5.2,0,0,0,0,0,0.00%,0.00%,5.81%,"989,354.81",1,-270.37,0
