,open,close,low,high,volume,money
2024-02-01,3821.0,3830.0,3819.0,3836.0,928.0,35503140.0
2024-02-02,3826.0,3773.0,3763.0,3831.0,1612.0,61193790.0
2024-02-05,3771.0,3777.0,3771.0,3805.0,394.0,14930440.0
2024-02-06,3774.0,3771.0,3750.0,3787.0,856.0,32242610.0
2024-02-07,3766.0,3772.0,3754.0,3781.0,727.0,27384200.0
2024-02-08,3783.0,3796.0,3771.0,3800.0,539.0,20424990.0
2024-02-19,3821.0,3760.0,3760.0,3821.0,1040.0,39311570.0
2024-02-20,3760.0,3704.0,3701.0,3769.0,2654.0,99167200.0
2024-02-21,3702.0,3721.0,3670.0,3775.0,2765.0,102680830.0
2024-02-22,3721.0,3729.0,3711.0,3747.0,674.0,25125260.0
2024-02-23,3726.0,3732.0,3726.0,3745.0,798.0,29790070.0
2024-02-26,3737.0,3694.0,3685.0,3737.0,2164.0,80066350.0
2024-02-27,3683.0,3750.0,3681.0,3753.0,1852.0,68897420.0
2024-02-28,3750.0,3740.0,3730.0,3755.0,1275.0,47738950.0
2024-02-29,3731.0,3731.0,3715.0,3745.0,1578.0,58872580.0
2024-03-01,3743.0,3709.0,3708.0,3743.0,903.0,33631390.0
2024-03-04,3713.0,3710.0,3682.0,3725.0,2970.0,109781450.0
2024-03-05,3710.0,3687.0,3680.0,3719.0,2038.0,75309090.0
2024-03-06,3687.0,3676.0,3667.0,3688.0,4631.0,170255210.0
2024-03-07,3673.0,3689.0,3673.0,3698.0,3130.0,115369960.0
2024-03-08,3684.0,3691.0,3673.0,3702.0,4613.0,170119340.0
2024-03-11,3700.0,3632.0,3632.0,3700.0,6980.0,255569250.0
2024-03-12,3630.0,3641.0,3625.0,3651.0,3859.0,140356610.0
2024-03-13,3647.0,3607.0,3601.0,3662.0,6416.0,232881270.0
2024-03-14,3612.0,3556.0,3552.0,3612.0,10127.0,362871870.0
2024-03-15,3560.0,3543.0,3541.0,3567.0,6094.0,216385050.0
2024-03-18,3540.0,3550.0,3480.0,3564.0,12821.0,451845690.0
2024-03-19,3555.0,3584.0,3544.0,3597.0,8819.0,314984540.0
2024-03-20,3592.0,3588.0,3579.0,3613.0,6854.0,246458820.0
2024-03-21,3582.0,3636.0,3575.0,3636.0,8226.0,297000480.0
2024-03-22,3628.0,3622.0,3605.0,3646.0,6799.0,246619620.0
2024-03-25,3619.0,3604.0,3598.0,3639.0,6875.0,248639480.0
2024-03-26,3600.0,3512.0,3512.0,3612.0,13738.0,488507480.0
2024-03-27,3524.0,3488.0,3485.0,3535.0,17594.0,616846320.0
2024-03-28,3480.0,3497.0,3465.0,3525.0,17615.0,614317150.0
2024-03-29,3497.0,3455.0,3440.0,3498.0,14850.0,514634890.0
2024-04-01,3450.0,3485.0,3402.0,3488.0,19594.0,673542270.0
2024-04-02,3486.0,3501.0,3479.0,3533.0,18498.0,648080960.0
2024-04-03,3505.0,3458.0,3458.0,3535.0,15759.0,552170520.0
2024-04-08,3450.0,3547.0,3443.0,3709.0,20108.0,706752180.0
