datetime,datetime_nano,SHFE.rb2501.open,SHFE.rb2501.high,SHFE.rb2501.low,SHFE.rb2501.close,SHFE.rb2501.volume,SHFE.rb2501.open_oi,SHFE.rb2501.close_oi
2024-01-15 21:00:00.000000000,1705323600000000000,3852,3852,3803,3835,67,0,56
2024-01-15 21:15:00.000000000,1705324500000000000,3835,3839,3828,3839,11,56,63
2024-01-15 21:30:00.000000000,1705325400000000000,3839,3839,3837,3837,6,63,69
2024-01-15 21:45:00.000000000,1705326300000000000,3837,3847,3836,3841,25,69,79
2024-01-15 22:00:00.000000000,1705327200000000000,3841,3842,3836,3836,69,79,137
2024-01-15 22:15:00.000000000,1705328100000000000,3836,3842,3835,3840,12,137,147
2024-01-15 22:30:00.000000000,1705329000000000000,3840,3840,3834,3835,7,147,154
2024-01-15 22:45:00.000000000,1705329900000000000,3835,3835,3823,3823,19,154,163
2024-01-16 09:00:00.000000000,1705366800000000000,3823,3835,3823,3832,30,163,187
2024-01-16 09:15:00.000000000,1705367700000000000,3832,3832,3820,3820,27,187,202
2024-01-16 09:30:00.000000000,1705368600000000000,3820,3824,3819,3822,25,202,224
2024-01-16 09:45:00.000000000,1705369500000000000,3822,3824,3821,3824,8,224,232
2024-01-16 10:00:00.000000000,1705370400000000000,3824,3824,3824,3824,34,232,263
2024-01-16 10:30:00.000000000,1705372200000000000,3824,3824,3824,3824,0,263,263
2024-01-16 10:45:00.000000000,1705373100000000000,3824,3824,3820,3823,32,263,290
2024-01-16 11:00:00.000000000,1705374000000000000,3823,3824,3823,3823,22,290,297
2024-01-16 11:15:00.000000000,1705374900000000000,3823,3824,3820,3820,51,297,347
2024-01-16 13:30:00.000000000,1705383000000000000,3820,3820,3814,3814,46,347,379
2024-01-16 13:45:00.000000000,1705383900000000000,3814,3814,3805,3805,46,379,425
2024-01-16 14:00:00.000000000,1705384800000000000,3805,3806,3803,3803,70,425,494
2024-01-16 14:15:00.000000000,1705385700000000000,3803,3811,3803,3804,2,494,495
2024-01-16 14:30:00.000000000,1705386600000000000,3804,3807,3804,3804,20,495,513
2024-01-16 14:45:00.000000000,1705387500000000000,3804,3827,3804,3818,64,513,531
2024-01-16 21:00:00.000000000,1705410000000000000,3831,3852,3831,3849,75,531,566
2024-01-16 21:15:00.000000000,1705410900000000000,3849,3858,3847,3848,26,566,585
2024-01-16 21:30:00.000000000,1705411800000000000,3848,3853,3847,3853,9,585,580
2024-01-16 21:45:00.000000000,1705412700000000000,3853,3853,3845,3848,24,580,596
2024-01-16 22:00:00.000000000,1705413600000000000,3848,3848,3844,3844,1,596,597
2024-01-16 22:15:00.000000000,1705414500000000000,3844,3849,3844,3845,7,597,599
2024-01-16 22:30:00.000000000,1705415400000000000,3845,3845,3838,3842,6,599,602
2024-01-16 22:45:00.000000000,1705416300000000000,3842,3845,3842,3845,1,602,602
2024-01-17 09:00:00.000000000,1705453200000000000,3845,3845,3840,3840,4,602,603
2024-01-17 09:15:00.000000000,1705454100000000000,3840,3840,3840,3840,0,603,603
2024-01-17 09:30:00.000000000,1705455000000000000,3840,3844,3840,3840,4,603,604
2024-01-17 09:45:00.000000000,1705455900000000000,3840,3840,3837,3837,7,604,608
2024-01-17 10:00:00.000000000,1705456800000000000,3837,3837,3835,3835,7,608,611
2024-01-17 10:30:00.000000000,1705458600000000000,3835,3835,3829,3829,11,611,618
2024-01-17 10:45:00.000000000,1705459500000000000,3829,3829,3827,3827,2,618,619
2024-01-17 11:00:00.000000000,1705460400000000000,3827,3827,3818,3821,67,619,675
2024-01-17 11:15:00.000000000,1705461300000000000,3821,3827,3818,3827,11,675,678
2024-01-17 13:30:00.000000000,1705469400000000000,3827,3827,3808,3808,143,678,749
2024-01-17 13:45:00.000000000,1705470300000000000,3808,3820,3808,3817,6,749,751
2024-01-17 14:00:00.000000000,1705471200000000000,3817,3817,3816,3817,3,751,751
2024-01-17 14:15:00.000000000,1705472100000000000,3817,3818,3811,3813,11,751,750
2024-01-17 14:30:00.000000000,1705473000000000000,3813,3816,3810,3810,34,750,782
2024-01-17 14:45:00.000000000,1705473900000000000,3810,3810,3802,3802,48,782,821
2024-01-17 21:00:00.000000000,1705496400000000000,3802,3802,3795,3795,139,821,952
2024-01-17 21:15:00.000000000,1705497300000000000,3795,3797,3790,3790,132,952,1074
2024-01-17 21:30:00.000000000,1705498200000000000,3790,3795,3790,3791,66,1074,1121
2024-01-17 21:45:00.000000000,1705499100000000000,3791,3795,3790,3791,17,1121,1130
2024-01-17 22:00:00.000000000,1705500000000000000,3791,3794,3790,3791,77,1130,1197
2024-01-17 22:15:00.000000000,1705500900000000000,3791,3803,3791,3798,31,1197,1201
2024-01-17 22:30:00.000000000,1705501800000000000,3798,3814,3798,3814,24,1201,1196
2024-01-17 22:45:00.000000000,1705502700000000000,3814,3818,3814,3817,49,1196,1153
2024-01-18 09:00:00.000000000,1705539600000000000,3817,3817,3802,3810,73,1153,1208
2024-01-18 09:15:00.000000000,1705540500000000000,3810,3819,3810,3819,49,1208,1208
2024-01-18 09:30:00.000000000,1705541400000000000,3819,3819,3817,3819,10,1208,1214
2024-01-18 09:45:00.000000000,1705542300000000000,3819,3819,3814,3814,1,1214,1214
2024-01-18 10:00:00.000000000,1705543200000000000,3814,3814,3808,3808,6,1214,1220
2024-01-18 10:30:00.000000000,1705545000000000000,3808,3808,3796,3796,59,1220,1265
2024-01-18 10:45:00.000000000,1705545900000000000,3796,3798,3793,3793,29,1265,1286
2024-01-18 11:00:00.000000000,1705546800000000000,3793,3802,3793,3802,17,1286,1298
2024-01-18 11:15:00.000000000,1705547700000000000,3802,3812,3802,3812,1,1298,1297
2024-01-18 13:30:00.000000000,1705555800000000000,3812,3823,3806,3819,27,1297,1304
2024-01-18 13:45:00.000000000,1705556700000000000,3819,3830,3819,3830,36,1304,1310
2024-01-18 14:00:00.000000000,1705557600000000000,3830,3840,3825,3832,162,1310,1429
2024-01-18 14:15:00.000000000,1705558500000000000,3832,3839,3830,3830,61,1429,1468
2024-01-18 14:30:00.000000000,1705559400000000000,3830,3830,3825,3826,27,1468,1485
2024-01-18 14:45:00.000000000,1705560300000000000,3826,3842,3826,3835,25,1485,1485
2024-01-18 21:00:00.000000000,1705582800000000000,3835,3839,3829,3830,54,1485,1482
2024-01-18 21:15:00.000000000,1705583700000000000,3830,3830,3825,3825,23,1482,1502
2024-01-18 21:30:00.000000000,1705584600000000000,3825,3828,3823,3824,36,1502,1526
2024-01-18 21:45:00.000000000,1705585500000000000,3824,3828,3824,3825,32,1526,1544
2024-01-18 22:00:00.000000000,1705586400000000000,3825,3826,3822,3824,38,1544,1569
2024-01-18 22:15:00.000000000,1705587300000000000,3824,3828,3822,3828,22,1569,1580
2024-01-18 22:30:00.000000000,1705588200000000000,3828,3828,3822,3827,39,1580,1609
2024-01-18 22:45:00.000000000,1705589100000000000,3827,3827,3812,3812,75,1609,1665
2024-01-19 09:00:00.000000000,1705626000000000000,3812,3831,3812,3826,32,1665,1684
2024-01-19 09:15:00.000000000,1705626900000000000,3826,3826,3822,3822,11,1684,1689
2024-01-19 09:30:00.000000000,1705627800000000000,3822,3826,3822,3826,1,1689,1689
2024-01-19 09:45:00.000000000,1705628700000000000,3826,3828,3822,3828,8,1689,1692
2024-01-19 10:00:00.000000000,1705629600000000000,3828,3830,3828,3828,3,1692,1694
2024-01-19 10:30:00.000000000,1705631400000000000,3828,3836,3828,3836,8,1694,1697
2024-01-19 10:45:00.000000000,1705632300000000000,3836,3844,3835,3844,19,1697,1707
2024-01-19 11:00:00.000000000,1705633200000000000,3844,3844,3839,3839,1,1707,1707
2024-01-19 11:15:00.000000000,1705634100000000000,3839,3840,3839,3840,1,1707,1708
2024-01-19 13:30:00.000000000,1705642200000000000,3841,3841,3838,3838,20,1708,1716
2024-01-19 13:45:00.000000000,1705643100000000000,3838,3838,3836,3836,7,1716,1713
2024-01-19 14:00:00.000000000,1705644000000000000,3836,3839,3836,3839,2,1713,1715
2024-01-19 14:15:00.000000000,1705644900000000000,3839,3848,3839,3840,27,1715,1733
2024-01-19 14:30:00.000000000,1705645800000000000,3840,3846,3840,3845,14,1733,1739
2024-01-19 14:45:00.000000000,1705646700000000000,3845,3850,3843,3846,26,1739,1741
2024-01-19 21:00:00.000000000,1705669200000000000,3840,3845,3835,3840,12,1741,1747
2024-01-19 21:15:00.000000000,1705670100000000000,3840,3840,3836,3837,3,1747,1748
2024-01-19 21:30:00.000000000,1705671000000000000,3837,3842,3837,3842,7,1748,1747
2024-01-19 21:45:00.000000000,1705671900000000000,3842,3842,3842,3842,0,1747,1747
2024-01-19 22:00:00.000000000,1705672800000000000,3842,3842,3839,3839,3,1747,1748
2024-01-19 22:15:00.000000000,1705673700000000000,3839,3839,3839,3839,2,1748,1749
2024-01-19 22:30:00.000000000,1705674600000000000,3839,3839,3832,3832,40,1749,1777
2024-01-19 22:45:00.000000000,1705675500000000000,3832,3837,3832,3835,8,1777,1776
2024-01-22 09:00:00.000000000,1705885200000000000,3831,3850,3827,3844,90,1776,1834
2024-01-22 09:15:00.000000000,1705886100000000000,3844,3850,3841,3850,26,1834,1844
2024-01-22 09:30:00.000000000,1705887000000000000,3850,3850,3842,3845,9,1844,1851
2024-01-22 09:45:00.000000000,1705887900000000000,3845,3845,3840,3842,4,1851,1853
2024-01-22 10:00:00.000000000,1705888800000000000,3842,3843,3841,3843,4,1853,1853
2024-01-22 10:30:00.000000000,1705890600000000000,3843,3845,3843,3845,50,1853,1890
2024-01-22 10:45:00.000000000,1705891500000000000,3845,3848,3843,3845,11,1890,1893
2024-01-22 11:00:00.000000000,1705892400000000000,3845,3845,3844,3844,6,1893,1899
2024-01-22 11:15:00.000000000,1705893300000000000,3844,3844,3844,3844,7,1899,1906
2024-01-22 13:30:00.000000000,1705901400000000000,3841,3841,3835,3836,22,1906,1916
2024-01-22 13:45:00.000000000,1705902300000000000,3836,3837,3830,3833,25,1916,1924
2024-01-22 14:00:00.000000000,1705903200000000000,3833,3839,3833,3837,17,1924,1928
2024-01-22 14:15:00.000000000,1705904100000000000,3837,3837,3811,3811,24,1928,1939
2024-01-22 14:30:00.000000000,1705905000000000000,3811,3820,3810,3810,27,1939,1954
2024-01-22 14:45:00.000000000,1705905900000000000,3810,3832,3810,3816,133,1954,2031
2024-01-22 21:00:00.000000000,1705928400000000000,3844,3844,3817,3825,55,2031,2059
2024-01-22 21:15:00.000000000,1705929300000000000,3825,3834,3825,3827,23,2059,2065
2024-01-22 21:30:00.000000000,1705930200000000000,3827,3830,3827,3830,1,2065,2064
2024-01-22 21:45:00.000000000,1705931100000000000,3830,3830,3825,3825,2,2064,2065
2024-01-22 22:00:00.000000000,1705932000000000000,3825,3828,3825,3828,2,2065,2065
2024-01-22 22:15:00.000000000,1705932900000000000,3828,3837,3828,3837,9,2065,2071
2024-01-22 22:30:00.000000000,1705933800000000000,3837,3837,3828,3831,27,2071,2072
2024-01-22 22:45:00.000000000,1705934700000000000,3831,3840,3830,3839,106,2072,2147
2024-01-23 09:00:00.000000000,1705971600000000000,3839,3853,3839,3844,28,2147,2162
2024-01-23 09:15:00.000000000,1705972500000000000,3844,3853,3844,3852,20,2162,2174
2024-01-23 09:30:00.000000000,1705973400000000000,3852,3852,3849,3852,4,2174,2176
2024-01-23 09:45:00.000000000,1705974300000000000,3852,3852,3848,3852,10,2176,2174
2024-01-23 10:00:00.000000000,1705975200000000000,3852,3855,3848,3854,15,2174,2179
2024-01-23 10:30:00.000000000,1705977000000000000,3854,3854,3851,3851,5,2179,2180
2024-01-23 10:45:00.000000000,1705977900000000000,3851,3853,3847,3848,12,2180,2182
2024-01-23 11:00:00.000000000,1705978800000000000,3848,3848,3845,3845,4,2182,2185
2024-01-23 11:15:00.000000000,1705979700000000000,3845,3845,3845,3845,0,2185,2185
2024-01-23 13:30:00.000000000,1705987800000000000,3845,3853,3845,3849,12,2185,2191
2024-01-23 13:45:00.000000000,1705988700000000000,3849,3852,3849,3852,3,2191,2192
2024-01-23 14:00:00.000000000,1705989600000000000,3852,3853,3847,3851,117,2192,2291
2024-01-23 14:15:00.000000000,1705990500000000000,3851,3860,3851,3855,53,2291,2325
2024-01-23 14:30:00.000000000,1705991400000000000,3855,3860,3855,3858,8,2325,2329
2024-01-23 14:45:00.000000000,1705992300000000000,3858,3858,3848,3848,52,2329,2344
2024-01-23 21:00:00.000000000,1706014800000000000,3856,3860,3856,3858,6,2344,2347
2024-01-23 21:15:00.000000000,1706015700000000000,3858,3861,3858,3859,31,2347,2363
2024-01-23 21:30:00.000000000,1706016600000000000,3859,3867,3859,3864,20,2363,2370
2024-01-23 21:45:00.000000000,1706017500000000000,3864,3866,3859,3866,24,2370,2381
2024-01-23 22:00:00.000000000,1706018400000000000,3866,3866,3858,3858,4,2381,2384
2024-01-23 22:15:00.000000000,1706019300000000000,3858,3858,3854,3855,39,2384,2421
2024-01-23 22:30:00.000000000,1706020200000000000,3855,3855,3852,3852,51,2421,2467
2024-01-23 22:45:00.000000000,1706021100000000000,3852,3852,3852,3852,1,2467,2468
2024-01-24 09:00:00.000000000,1706058000000000000,3852,3857,3852,3857,6,2468,2468
2024-01-24 09:15:00.000000000,1706058900000000000,3857,3859,3857,3858,3,2468,2468
2024-01-24 09:30:00.000000000,1706059800000000000,3858,3863,3858,3859,5,2468,2469
2024-01-24 09:45:00.000000000,1706060700000000000,3859,3861,3858,3861,3,2469,2470
2024-01-24 10:00:00.000000000,1706061600000000000,3861,3861,3857,3857,5,2470,2473
2024-01-24 10:30:00.000000000,1706063400000000000,3857,3857,3857,3857,0,2473,2473
2024-01-24 10:45:00.000000000,1706064300000000000,3857,3857,3857,3857,0,2473,2473
2024-01-24 11:00:00.000000000,1706065200000000000,3857,3861,3857,3860,4,2473,2473
2024-01-24 11:15:00.000000000,1706066100000000000,3860,3868,3860,3868,35,2473,2487
2024-01-24 13:30:00.000000000,1706074200000000000,3868,3869,3867,3868,53,2487,2517
2024-01-24 13:45:00.000000000,1706075100000000000,3868,3871,3865,3865,48,2517,2519
